,index,HA,workplace_name,workplace_address,city,date_cluster_confirmed_public_health,date_cluster_no_longer_active,earliest_reported_cases,latest_reported_cases,workplace_classification,cases_when_cluster_confirmed,total_cases,workplace_status,closure_y_n,closed_by_order,voluntary_closure,closure_date,partially_closed,unknown_closure_type,open,days_since_last_case,active_clusters,cluster_confirmed_epidate,doc_page_number,cluster_closed_epidate,file,flag,consolidated_status
738,367.0,FHA,,,Burnaby,2021-05-05,2021-05-17,,,Personal Care,3.0,3.0,Not closed: Alternate control measures,No,,Unknown,,No,,Yes,,No,18-2021,45,,F22-1445 Records_Part2.pdf,,Not closed
739,368.0,FHA,,,Mission,2021-05-05,2021-05-22,,,Manufacturing/Industry,5.0,5.0,Not closed: Alternate control measures,No,,Unknown,,No,,Yes,,No,18-2021,45,,F22-1445 Records_Part2.pdf,,Not closed
740,369.0,FHA,,,Burnaby,2021-05-05,2021-05-20,,,Retail,3.0,3.0,Closed,Yes,,Unknown,2021-05-06,Yes,,No,,No,18-2021,45,18-2021,F22-1445 Records_Part2.pdf,,Closed
741,370.0,FHA,,,Surrey,2021-05-05,2021-06-03,,,Transportation,7.0,7.0,Closed,Yes,,Unknown,2021-05-06,Yes,,No,,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Closed
742,371.0,FHA,,,Abbotsford,2021-05-05,2021-05-18,,,Restaurant/Bar/Lounge,5.0,5.0,Closed,Yes,,Unknown,2021-05-06,No,,No,,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Closed
743,372.0,FHA,,,Surrey,2021-05-05,2021-05-14,,,Food Processing,4.0,4.0,Not closed: Alternate control measures,No,,Unknown,,No,,Yes,,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Not closed
744,373.0,VIHA,,,Ladysmith,2021-05-05,,2021-04-29,2021-05-05,Other,0.0,3.0,Open,No,,No,,Unknown,,Yes,62.0,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Not closed
745,374.0,VCH,,,Richmond,2021-05-05,,2021-05-05,2021-05-20,Maintenance/Trades/Construction,,3.0,Voluntarily closed by operator,Yes,,Yes,,No,,No,,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Closed
746,375.0,IHA,,,Nelson,2021-05-06,,2021-05-06,,Health Care Facility (Acute/LTC),4.0,3.0,Not closed,No,,No,,Unknown,,Yes,,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Not closed
747,376.0,IHA,,,Winfield,2021-05-06,,2021-05-06,,Food Processing,1.0,4.0,Closed,Yes,,Yes,2021-05-06,Unknown,,No,,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Closed
748,377.0,IHA,,,Golden,2021-05-06,,2021-05-06,,Hospitality/Services,5.0,5.0,Closed,Yes,,Yes,2021-04-20,Unknown,,No,,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Closed
749,378.0,IHA,,,Penticton,2021-05-06,,2021-05-06,,Restaurant/Bar/Lounge,5.0,5.0,Closed,Yes,,Yes,2021-04-19,Unknown,,No,,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Closed
750,379.0,FHA,,,Surrey,2021-05-06,2021-05-19,,,Restaurant/Bar/Lounge,3.0,3.0,Not closed: insufficient evidence of recent transmission,No,,Unknown,,No,,Yes,,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Not closed
751,380.0,FHA,,,Surrey,2021-05-06,2021-05-26,,,Personal Care,3.0,3.0,Closed,Yes,,Unknown,2021-05-07,No,,No,,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Closed
752,381.0,FHA,,,Abbotsford,2021-05-06,2021-05-23,,,Retail,7.0,7.0,Not closed: Public interest in remaining open,No,,Unknown,,No,,Yes,,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Not closed
753,382.0,FHA,,,Chilliwack,2021-05-06,2021-05-22,,,Personal Care,12.0,12.0,Closed,Yes,,Unknown,2021-05-07,Yes,,No,,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Closed
754,383.0,IHA,,,Kelowna,2021-05-07,,2021-05-07,,Transportation,7.0,15.0,Not closed,No,,No,,Unknown,,Yes,,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Not closed
755,384.0,IHA,,,Kelowna,2021-05-07,,2021-05-07,,Retail,6.0,7.0,Closed,Yes,,No,2021-05-08,Unknown,,No,,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Closed
756,385.0,FHA,,,Surrey,2021-05-07,2021-05-21,,,Office,3.0,3.0,Not closed: insufficient evidence of recent transmission,No,,Unknown,,No,,Yes,,No,18-2021,46,,F22-1445 Records_Part2.pdf,,Not closed
757,386.0,FHA,,,Surrey,2021-05-07,2021-05-21,,,Office,6.0,,,Yes,,Unknown,2021-05-08,No,,No,,No,18-2021,47,18-2021,F22-1445 Records_Part2.pdf,,
758,387.0,FHA,,,Abbotsford,2021-05-07,2021-05-31,,,Manufacturing/Industry,6.0,,,No,,Unknown,,No,,Yes,,No,18-2021,47,,F22-1445 Records_Part2.pdf,,
759,388.0,FHA,,,Delta,2021-05-07,2021-05-14,,,Restaurant/Bar/Lounge,3.0,,,Yes,,Unknown,2021-05-07,No,,No,,No,18-2021,47,18-2021,F22-1445 Records_Part2.pdf,,
760,389.0,FHA,,,Abbotsford,2021-05-07,2021-05-21,,,Food Processing,3.0,,,No,,Unknown,,No,,Yes,,No,18-2021,47,,F22-1445 Records_Part2.pdf,,
761,390.0,FHA,,,Langley,2021-05-07,2021-05-21,,,Manufacturing/Industry,5.0,,,No,,Unknown,,No,,Yes,,No,18-2021,47,,F22-1445 Records_Part2.pdf,,
762,391.0,FHA,,,Coquitlam,2021-05-07,2021-05-29,,,Manufacturing/Industry,8.0,,,No,,Unknown,,No,,Yes,,No,18-2021,47,,F22-1445 Records_Part2.pdf,,
763,392.0,FHA,,,Surrey,2021-05-07,2021-05-17,,,Retail,5.0,,,No,,Unknown,,No,,Yes,,No,18-2021,47,,F22-1445 Records_Part2.pdf,,
764,393.0,FHA,,,Chilliwack,2021-05-07,2021-05-16,,,Restaurant/Bar/Lounge,3.0,,,No,,Unknown,,No,,Yes,,No,18-2021,47,,F22-1445 Records_Part2.pdf,,
765,394.0,FHA,,,Langley,2021-05-07,2021-05-28,,,Food Processing,6.0,,,No,,Unknown,,No,,Yes,,No,18-2021,47,,F22-1445 Records_Part2.pdf,,
766,395.0,FHA,,,New Westminster,2021-05-07,2021-05-25,,,Restaurant/Bar/Lounge,5.0,,,Yes,,Unknown,2021-05-07,No,,No,,No,18-2021,47,18-2021,F22-1445 Records_Part2.pdf,,
767,396.0,FHA,,,Abbotsford,2021-05-07,2021-05-21,,,Farm/Agriculture,19.0,,,Yes,,Unknown,2021-05-08,No,,No,,No,18-2021,47,18-2021,F22-1445 Records_Part2.pdf,,
768,397.0,NHA,,,Unknown,2021-05-07,2021-06-23,,,Manufacturing/Industry,,11.0,"Open (if open, reason for non-closure)",No,,No,,Unknown,,No,,No,18-2021,48,,F22-1445 Records_Part2.pdf,,Not closed
769,398.0,VIHA,,,Victoria,2021-05-08,,2021-04-21,2021-05-08,Office,0.0,3.0,Closed,Yes,,Yes,,Unknown,,No,59.0,No,18-2021,48,,F22-1445 Records_Part2.pdf,,Closed
770,399.0,IHA,,,Trail,2021-05-09,,2021-05-09,,Personal Care,3.0,3.0,Closed,Yes,,No,2021-05-07,Unknown,,No,,No,19-2021,48,18-2021,F22-1445 Records_Part2.pdf,,Closed
771,400.0,IHA,,,Chase,2021-05-10,,2021-05-10,,First Responder,5.0,4.0,Not closed,No,,No,,Unknown,,Yes,,No,19-2021,48,,F22-1445 Records_Part2.pdf,,Not closed
772,401.0,IHA,,,Golden,2021-05-10,,2021-05-10,,Manufacturing/Industry,4.0,4.0,Not closed,No,,No,,Unknown,,Yes,,No,19-2021,48,,F22-1445 Records_Part2.pdf,,Not closed
773,402.0,IHA,,,Chase,2021-05-10,,2021-05-10,,Retail,4.0,4.0,Not closed,No,,No,,Unknown,,No,,No,19-2021,48,,F22-1445 Records_Part2.pdf,,Not closed
774,403.0,IHA,,,Kelowna,2021-05-10,,2021-05-10,,Office,11.0,6.0,Closed,Yes,,No,2021-05-10,Unknown,,No,,No,19-2021,48,19-2021,F22-1445 Records_Part2.pdf,,Closed
775,404.0,IHA,,,Vernon,2021-05-10,,2021-05-10,2021-05-15,Farm/Agriculture,4.0,4.0,Not closed,No,,No,,Unknown,,No,,No,19-2021,48,,F22-1445 Records_Part2.pdf,,Not closed
776,405.0,FHA,,,Delta,2021-05-10,2021-05-20,,,Manufacturing/Industry,4.0,4.0,Not closed: Public interest in remaining open,No,,Unknown,,No,,Yes,,No,19-2021,48,,F22-1445 Records_Part2.pdf,,Not closed
777,406.0,FHA,,,Port Coquitlam,2021-05-10,2021-05-23,,,Retail,4.0,4.0,Not closed: Public interest in remaining open,No,,Unknown,,No,,Yes,,No,19-2021,48,,F22-1445 Records_Part2.pdf,,Not closed
778,407.0,FHA,,,Surrey,2021-05-10,2021-05-12,,,Maintenance/Trades/Construction,3.0,3.0,Not closed: Public interest in remaining open,No,,Unknown,,No,,Yes,,No,19-2021,48,,F22-1445 Records_Part2.pdf,,Not closed
779,408.0,FHA,,,Delta,2021-05-10,2021-05-18,,,Manufacturing/Industry,3.0,3.0,Not closed: insufficient evidence of recent transmission,No,,Unknown,,No,,Yes,,No,19-2021,48,,F22-1445 Records_Part2.pdf,,Not closed
780,409.0,FHA,,,Surrey,2021-05-10,2021-06-10,,,Transportation,19.0,19.0,Not closed: Public interest in remaining open,No,,Unknown,,No,,Yes,,No,19-2021,48,,F22-1445 Records_Part2.pdf,,Not closed
781,410.0,FHA,,,Langley,2021-05-10,2021-06-02,,,Warehouse,3.0,3.0,Not closed: insufficient evidence of recent transmission,No,,Unknown,,No,,Yes,,No,19-2021,48,,F22-1445 Records_Part2.pdf,,Not closed
782,411.0,FHA,,,Surrey,2021-05-10,2021-05-22,,,Health Care Facility (Acute/LTC),3.0,3.0,Not closed: insufficient evidence of recent transmission,No,,Unknown,,No,,Yes,,No,19-2021,48,,F22-1445 Records_Part2.pdf,,Not closed
783,412.0,FHA,,,Abbotsford,2021-05-10,2021-05-20,,,Food Processing,3.0,3.0,Not closed: Public interest in remaining open,No,,Unknown,,No,,Yes,,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Not closed
784,413.0,FHA,,,Maple Ridge,2021-05-10,2021-05-19,,,Restaurant/Bar/Lounge,4.0,4.0,Closed,Yes,,Unknown,2021-05-10,No,,No,,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Closed
785,414.0,VIHA,,,Duncan,2021-05-10,,2021-05-03,2021-05-10,Other,0.0,3.0,Open,No,,No,,Unknown,,Yes,57.0,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Not closed
786,415.0,VIHA,,,Deep Bay,2021-05-10,,2021-05-08,2021-05-10,Other,0.0,3.0,Closed,Yes,,Yes,,Unknown,,No,57.0,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Closed
787,416.0,VIHA,,,Nanaimo,2021-05-10,,2021-05-07,2021-05-12,Restaurant/Bar/Lounge,0.0,4.0,Closed,Yes,,Yes,,Unknown,,No,55.0,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Closed
788,417.0,VCH,,,Vancouver,2021-05-10,,2021-05-10,2021-05-28,Other,,4.0,Not a worksite,No,,No,,No,,Yes,,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Not a worksite
789,418.0,VCH,,,Vancouver,2021-05-10,,2021-05-10,2021-06-02,Office,,3.0,Voluntarily closed by operator,Yes,,Yes,,No,,No,,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Closed
790,419.0,IHA,,,Vernon,2021-05-11,,2021-05-11,,Hospitality/Services,4.0,3.0,Closed,Yes,,No,2021-05-07,Unknown,,No,,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Closed
791,420.0,IHA,,,Elk Valley,2021-05-11,,2021-05-11,,Manufacturing/Industry,6.0,9.0,Not closed,No,,No,,Unknown,,No,,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Not closed
792,421.0,FHA,,,Coquitlam,2021-05-11,2021-05-27,,,Retail,3.0,3.0,Closed,Yes,,Unknown,2021-05-12,No,,No,,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Closed
793,422.0,FHA,,,Burnaby,2021-05-11,2021-05-22,,,Maintenance/Trades/Construction,3.0,3.0,Not closed: Alternate control measures,No,,Unknown,,No,,Yes,,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Not closed
794,423.0,FHA,,,Surrey,2021-05-11,2021-05-18,,,Office,3.0,3.0,Not closed: Alternate control measures,No,,Unknown,,No,,Yes,,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Not closed
795,424.0,VIHA,,,Oak Bay,2021-05-11,,2021-05-04,2021-05-11,Maintenance/Trades/Construction,0.0,3.0,Open,No,,No,,Unknown,,Yes,56.0,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Not closed
796,425.0,VCH,,,Vancouver,2021-05-11,,2021-05-11,2021-05-29,School/Daycare,,5.0,Partially closed or widespread isolation by PH,Yes,,No,,Yes,,No,,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Partially closed or widespread isolation by PH
797,426.0,IHA,,,Kelowna,2021-05-12,,2021-05-12,,School/Daycare,3.0,5.0,Closed,Yes,,Yes,2021-05-12,Unknown,,No,,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Closed
798,427.0,FHA,,,Port Coquitlam,2021-05-12,2021-05-29,,,Transportation,14.0,14.0,Closed,Yes,,Unknown,2021-05-14,Yes,,No,,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Closed
799,428.0,FHA,,,Mission,2021-05-12,2021-05-23,,,Gym/Fitness,8.0,8.0,Not closed: Alternate control measures,No,,Unknown,,No,,Yes,,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Not closed
800,429.0,FHA,,,Burnaby,2021-05-12,2021-05-28,,,Gym/Fitness,4.0,4.0,Closed,Yes,,Unknown,2021-05-14,No,,No,,No,19-2021,49,,F22-1445 Records_Part2.pdf,,Closed
801,430.0,FHA,,,Delta,2021-05-12,2021-05-22,,,Food Processing,9.0,9.0,Not closed: Alternate control measures,No,,Unknown,,No,,Yes,,No,19-2021,50,,F22-1445 Records_Part2.pdf,,Not closed
802,431.0,FHA,,,Langley,2021-05-12,2021-05-25,,,Food Processing,3.0,3.0,Not closed: insufficient evidence of recent transmission,No,,Unknown,,No,,Yes,,No,19-2021,50,,F22-1445 Records_Part2.pdf,,Not closed
803,432.0,FHA,,,Burnaby,2021-05-12,2021-05-28,,,Manufacturing/Industry,5.0,5.0,Not closed: insufficient evidence of recent transmission,No,,Unknown,,No,,Yes,,No,19-2021,50,,F22-1445 Records_Part2.pdf,,Not closed
804,433.0,VCH,,,Vancouver,2021-05-12,,2021-05-12,2021-06-04,Shelter/SRO/Congregate Housing,,7.0,Managed without closure (not closed),No,,No,,No,,Yes,,No,19-2021,50,,F22-1445 Records_Part2.pdf,,Not closed
805,434.0,VCH,,,Vancouver,2021-05-12,,2021-05-12,2021-06-04,Other,,4.0,Managed without closure (not closed),No,,No,,No,,Yes,,No,19-2021,50,,F22-1445 Records_Part2.pdf,,Not closed
806,435.0,FHA,,,Surrey,2021-05-13,2021-05-29,,,Gym/Fitness,9.0,9.0,Not closed: Alternate control measures,No,,Unknown,,No,,Yes,,No,19-2021,50,,F22-1445 Records_Part2.pdf,,Not closed
807,436.0,FHA,,,Port Moody,2021-05-13,2021-05-28,,,Maintenance/Trades/Construction,4.0,4.0,Closed,Yes,,Unknown,2021-05-15,Yes,,No,,No,19-2021,50,19-2021,F22-1445 Records_Part2.pdf,,Closed
808,437.0,FHA,,,Surrey,2021-05-13,2021-05-28,,,Transportation,3.0,3.0,Not closed: Public interest in remaining open,No,,Unknown,,No,,Yes,,No,19-2021,50,,F22-1445 Records_Part2.pdf,,Not closed
809,438.0,FHA,,,Delta,2021-05-13,2021-05-27,,,Office,3.0,3.0,Closed,Yes,,Unknown,2021-05-14,No,,No,,No,19-2021,50,19-2021,F22-1445 Records_Part2.pdf,,Closed
810,439.0,FHA,,,Abbotsford,2021-05-13,2021-06-23,,,Farm/Agriculture,31.0,31.0,Not closed: Alternate control measures,No,,Unknown,,No,,Yes,,No,19-2021,50,,F22-1445 Records_Part2.pdf,,Not closed
811,440.0,FHA,,,Surrey,2021-05-13,2021-06-09,,,Retail,6.0,6.0,Not closed: Public interest in remaining open,No,,Unknown,,No,,Yes,,No,19-2021,50,,F22-1445 Records_Part2.pdf,,Not closed
812,441.0,FHA,,,Delta,2021-05-14,2021-06-05,,,Warehouse,3.0,3.0,Not closed: Alternate control measures,No,,Unknown,,No,,Yes,,No,19-2021,50,,F22-1445 Records_Part2.pdf,,Not closed
813,442.0,FHA,,,Delta,2021-05-14,2021-06-11,,,Transportation,7.0,7.0,Not closed: insufficient evidence of recent transmission,No,,Unknown,,No,,Yes,,No,19-2021,51,,F22-1445 Records_Part2.pdf,,Not closed
814,443.0,FHA,,,Burnaby,2021-05-14,2021-05-26,,,Office,4.0,4.0,Closed,Yes,,Unknown,2021-05-14,No,,No,,No,19-2021,51,19-2021,F22-1445 Records_Part2.pdf,,Closed
815,444.0,NHA,,,Unknown,2021-05-14,2021-05-31,,,Manufacturing/Industry,3.0,3.0,"Open (if open, reason for non-closure)",No,,No,,Unknown,,No,,No,19-2021,51,,F22-1445 Records_Part2.pdf,,Not closed
816,445.0,FHA,,,Langley,2021-05-15,2021-06-07,,,Gym/Fitness,4.0,4.0,Closed,Yes,,Unknown,2021-05-25,No,,No,,No,19-2021,51,21-2021,F22-1445 Records_Part2.pdf,,Closed
817,446.0,FHA,,,Surrey,2021-05-15,2021-06-04,,,Gym/Fitness,5.0,5.0,Closed,Yes,,Unknown,2021-05-16,No,,No,,No,19-2021,51,20-2021,F22-1445 Records_Part2.pdf,,Closed
818,447.0,FHA,,,Abbotsford,2021-05-15,2021-06-03,,,Gym/Fitness,14.0,14.0,Closed,Yes,,Unknown,2021-05-17,No,,No,,No,19-2021,51,20-2021,F22-1445 Records_Part2.pdf,,Closed
819,448.0,FHA,,,Surrey,2021-05-15,2021-05-27,,,Gym/Fitness,3.0,3.0,Not closed: insufficient evidence of recent transmission,No,,Unknown,,No,,Yes,,No,19-2021,51,,F22-1445 Records_Part2.pdf,,Not closed
820,449.0,VIHA,,,Duncan,2021-05-15,,2021-05-14,2021-05-18,Other,0.0,5.0,Open,No,,No,,Unknown,,Yes,49.0,No,19-2021,51,,F22-1445 Records_Part2.pdf,,Not closed
821,450.0,FHA,,,Burnaby,2021-05-16,2021-06-02,,,Maintenance/Trades/Construction,8.0,8.0,Not closed: Public interest in remaining open,No,,Unknown,,No,,Yes,,No,20-2021,51,,F22-1445 Records_Part2.pdf,,Not closed
822,451.0,FHA,,,Burnaby,2021-05-17,2021-05-27,,,Maintenance/Trades/Construction,6.0,6.0,Not closed: Alternate control measures,No,,Unknown,,No,,Yes,,No,20-2021,51,,F22-1445 Records_Part2.pdf,,Not closed
823,452.0,FHA,,,Abbotsford,2021-05-17,2021-05-29,,,Manufacturing/Industry,4.0,4.0,Closed,Yes,,Unknown,2021-05-17,No,,No,,No,20-2021,51,20-2021,F22-1445 Records_Part2.pdf,,Closed
824,453.0,FHA,,,Surrey,2021-05-17,2021-06-03,,,Transportation,4.0,4.0,Not closed: insufficient evidence of recent transmission,No,,Unknown,,No,,Yes,,No,20-2021,51,,F22-1445 Records_Part2.pdf,,Not closed
825,454.0,FHA,,,Surrey,2021-05-17,2021-06-07,,,Maintenance/Trades/Construction,5.0,5.0,Not closed: Alternate control measures,No,,Unknown,,No,,Yes,,No,20-2021,51,,F22-1445 Records_Part2.pdf,,Not closed
826,455.0,FHA,,,Surrey,2021-05-17,2021-05-28,,,Transportation,3.0,,,No,,Unknown,,No,,Yes,,No,20-2021,52,,F22-1445 Records_Part2.pdf,,
827,456.0,FHA,,,Abbotsford,2021-05-17,2021-05-28,,,Maintenance/Trades/Construction,4.0,,,No,,Unknown,,No,,Yes,,No,20-2021,52,,F22-1445 Records_Part2.pdf,,
828,457.0,FHA,,,Surrey,2021-05-17,2021-06-03,,,Office,4.0,,,No,,Unknown,,No,,Yes,,No,20-2021,52,,F22-1445 Records_Part2.pdf,,
829,458.0,FHA,,,Maple Ridge,2021-05-17,2021-06-02,,,Manufacturing/Industry,6.0,,,Yes,,Unknown,2021-05-18,No,,No,,No,20-2021,52,20-2021,F22-1445 Records_Part2.pdf,,
830,459.0,FHA,,,Surrey,2021-05-17,2021-05-31,,,Transportation,4.0,,,No,,Unknown,,No,,Yes,,No,20-2021,52,,F22-1445 Records_Part2.pdf,,
831,460.0,FHA,,,Delta,2021-05-17,2021-05-27,,,Manufacturing/Industry,4.0,,,No,,Unknown,,No,,Yes,,No,20-2021,52,,F22-1445 Records_Part2.pdf,,
832,461.0,FHA,,,New Westminster,2021-05-17,2021-05-25,,,Retail,4.0,,,No,,Unknown,,No,,Yes,,No,20-2021,52,,F22-1445 Records_Part2.pdf,,
833,462.0,NHA,,,Unknown,2021-05-17,2021-06-22,,,Shelter/SRO/Congregate Housing,1.0,,,No,,No,,Unknown,,No,,No,20-2021,52,,F22-1445 Records_Part2.pdf,,
834,463.0,FHA,,,Burnaby,2021-05-18,2021-06-07,,,Restaurant/Bar/Lounge,5.0,,,Yes,,Unknown,2021-05-19,No,,No,,No,20-2021,52,20-2021,F22-1445 Records_Part2.pdf,,
835,464.0,VIHA,,,Nanaimo,2021-05-18,,2021-05-16,2021-05-18,Maintenance/Trades/Construction,0.0,,,No,,No,,Unknown,,Yes,49.0,No,20-2021,52,,F22-1445 Records_Part2.pdf,,
836,465.0,FHA,,,Surrey,2021-05-19,2021-06-07,,,Manufacturing/Industry,6.0,,,Yes,,Unknown,2021-05-20,No,,No,,No,20-2021,52,20-2021,F22-1445 Records_Part2.pdf,,
837,466.0,FHA,,,Surrey,2021-05-19,2021-06-08,,,Manufacturing/Industry,3.0,,,No,,Unknown,,No,,Yes,,No,20-2021,52,,F22-1445 Records_Part2.pdf,,
838,467.0,FHA,,,Abbotsford,2021-05-19,2021-06-21,,,Other,12.0,12.0,Closed,Yes,,Unknown,2021-05-20,Yes,,No,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Closed
839,468.0,FHA,,,New Westminster,2021-05-19,2021-06-01,,,Office,5.0,5.0,Not closed: Alternate control measures,No,,Unknown,,No,,Yes,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Not closed
840,469.0,NHA,,,Unknown,2021-05-19,2021-05-31,,,Maintenance/Trades/Construction,5.0,9.0,Voluntary closure,Yes,,Yes,,Unknown,,No,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Closed
841,470.0,FHA,,,Langley,2021-05-20,2021-06-14,,,Personal Care,6.0,6.0,Closed,Yes,,Unknown,2021-05-20,No,,No,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Closed
842,471.0,FHA,,,Port Coquitlam,2021-05-20,2021-06-10,,,Maintenance/Trades/Construction,6.0,6.0,Not closed: Alternate control measures,No,,Unknown,,No,,Yes,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Not closed
843,472.0,FHA,,,New Westminster,2021-05-20,2021-05-28,,,Transportation,3.0,3.0,Not closed: Public interest in remaining open,No,,Unknown,,No,,Yes,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Not closed
844,473.0,FHA,,,Langley,2021-05-20,2021-05-31,,,Transportation,3.0,3.0,Not closed: insufficient evidence of recent transmission,No,,Unknown,,No,,Yes,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Not closed
845,474.0,FHA,,,Surrey,2021-05-20,2021-06-21,,,Gym/Fitness,3.0,3.0,Not closed: insufficient evidence of recent transmission,No,,Unknown,,No,,Yes,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Not closed
846,475.0,FHA,,,New Westminster,2021-05-20,2021-06-03,,,Restaurant/Bar/Lounge,5.0,5.0,Closed,Yes,,Unknown,2021-05-21,No,,No,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Closed
847,476.0,FHA,,,Surrey,2021-05-20,2021-06-15,,,Gym/Fitness,15.0,15.0,Closed,Yes,,Unknown,2021-05-21,No,,No,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Closed
848,477.0,VCH,,,North Vancouver,2021-05-20,,2021-05-20,2021-06-08,Restaurant/Bar/Lounge,,3.0,Voluntarily closed by operator,Yes,,Yes,,No,,No,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Closed
849,478.0,IHA,,,Kelowna,2021-05-21,,2021-05-21,2021-06-03,Retail,3.0,4.0,Not closed,No,,No,,Unknown,,Yes,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Not closed
850,479.0,IHA,,,Kelowna,2021-05-21,,2021-05-21,2021-05-16,Restaurant/Bar/Lounge,3.0,3.0,Not closed,No,,No,,Unknown,,No,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Not closed
851,480.0,IHA,,,Osoyoos,2021-05-21,,2021-05-21,2021-05-25,Restaurant/Bar/Lounge,3.0,3.0,Closed,Yes,,Yes,2021-05-21,Unknown,,No,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Closed
852,481.0,IHA,,,Kelowna,2021-05-21,,2021-05-21,,Restaurant/Bar/Lounge,8.0,12.0,Closed,Yes,,No,2021-05-20,Unknown,,No,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Closed
853,482.0,IHA,,,Kelowna,2021-05-21,,2021-05-21,2021-05-27,Retail,3.0,6.0,Not closed,No,,No,,Unknown,,No,,No,20-2021,53,,F22-1445 Records_Part2.pdf,,Not closed
854,483.0,FHA,,,Abbotsford,2021-05-21,2021-06-05,,,Manufacturing/Industry,5.0,5.0,Not closed: insufficient evidence of recent transmission,No,,Unknown,,No,,Yes,,No,20-2021,54,,F22-1445 Records_Part2.pdf,,Not closed
855,484.0,VIHA,,,Victoria/Saanich,2021-05-21,,2021-04-15,2021-05-22,Transportation,0.0,3.0,Open,No,,No,,Unknown,,Yes,45.0,No,20-2021,54,,F22-1445 Records_Part2.pdf,,Not closed
856,485.0,IHA,,,Kelowna,2021-05-23,,2021-05-23,2021-05-30,Retail,4.0,4.0,Not closed,No,,No,,Unknown,,Yes,,No,21-2021,54,,F22-1445 Records_Part2.pdf,,Not closed
857,486.0,IHA,,,Kelowna,2021-05-23,,2021-05-23,2021-05-25,Maintenance/Trades/Construction,4.0,4.0,Closed,Yes,,Yes,2021-05-17,Unknown,,No,,No,21-2021,54,20-2021,F22-1445 Records_Part2.pdf,,Closed
858,487.0,FHA,,,Port Coquitlam,2021-05-24,2021-06-09,,,Maintenance/Trades/Construction,5.0,5.0,Closed,Yes,,Unknown,2021-05-28,No,,No,,No,21-2021,54,21-2021,F22-1445 Records_Part2.pdf,,Closed
859,488.0,FHA,,,Burnaby,2021-05-24,2021-05-28,,,Maintenance/Trades/Construction,3.0,3.0,Not closed: Public interest in remaining open,No,,Unknown,,No,,Yes,,No,21-2021,54,,F22-1445 Records_Part2.pdf,,Not closed
860,489.0,FHA,,,Delta,2021-05-24,2021-06-05,,,Manufacturing/Industry,3.0,3.0,Not closed: insufficient evidence of recent transmission,No,,Unknown,,No,,Yes,,No,21-2021,54,,F22-1445 Records_Part2.pdf,,Not closed
861,490.0,FHA,,,Burnaby,2021-05-24,2021-05-24,,,Transportation,3.0,3.0,Not closed: insufficient evidence of recent transmission,No,,Unknown,,No,,Yes,,No,21-2021,54,,F22-1445 Records_Part2.pdf,,Not closed
